Multiplied	k
4	2x2
6	2x3
8	2x4
9	3x3
10	2x5
12	2x6,3x4
14	2x7
15	3x5
16	2x8,4x4
18	2x9,3x6
20	2x10,4x5
21	3x7
22	2x11
24	2x12,3x8,4x6
25	5x5
26	2x13
27	3x9
28	2x14,4x7
30	2x15,3x10,5x6
32	2x16,4x8
33	3x11
34	2x17
35	5x7
36	2x18,3x12,4x9,6x6
38	2x19
39	3x13
40	2x20,4x10,5x8
42	2x21,3x14,6x7
44	2x22,4x11
45	3x15,5x9
46	2x23
48	2x24,3x16,4x12,6x8
49	7x7
50	2x25,5x10
51	3x17
52	2x26,4x13
54	2x27,3x18,6x9
55	5x11
56	2x28,4x14,7x8
57	3x19
58	2x29
60	2x30,3x20,4x15,5x12,6x10
62	2x31
63	3x21,7x9
64	2x32,4x16,8x8
65	5x13
66	2x33,3x22,6x11
68	2x34,4x17
69	3x23
70	2x35,5x14,7x10
72	2x36,3x24,4x18,6x12,8x9
74	2x37
75	3x25,5x15
76	2x38,4x19
77	7x11
78	2x39,3x26,6x13
80	2x40,4x20,5x16,8x10
81	3x27,9x9
82	2x41
84	2x42,3x28,4x21,6x14,7x12
85	5x17
86	2x43
87	3x29
88	2x44,4x22,8x11
90	2x45,3x30,5x18,6x15,9x10
91	7x13
92	2x46,4x23
93	3x31
94	2x47
95	5x19
96	2x48,3x32,4x24,6x16,8x12
98	2x49,7x14
99	3x33,9x11
100	2x50,4x25,5x20,10x10
